Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25151238,Islam and the Future of Tolerance: A Dialogue,Sam Harris,"Harris, Sam",Maajid Nawaz,"=""0674088700""","=""9780674088702""",0,4.11,Harvard University Press ,Hardcover,138,2015,2015,,2017/02/26,"to-read, non-fiction","to-read (#171), non-fiction (#160)",to-read,,,,0,,,0,,,,,
7332753,Hitch-22: A Memoir,Christopher Hitchens,"Hitchens, Christopher",,"=""0446540331""","=""9780446540339""",0,4.03,Twelve,Hardcover,435,2010,2010,,2017/02/26,"to-read, non-fiction","to-read (#170), non-fiction (#159)",to-read,,,,0,,,0,,,,,
503150,Letters to a Young Contrarian,Christopher Hitchens,"Hitchens, Christopher",,"=""0465030335""","=""9780465030330""",0,4.15,Basic Books,Paperback,141,2005,2001,,2017/02/26,"to-read, non-fiction","to-read (#169), non-fiction (#158)",to-read,,,,0,,,0,,,,,
43369,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"Hitchens, Christopher",,"=""0446579807""","=""9780446579803""",0,3.95,Twelve,Hardcover,307,2007,2007,,2017/02/26,"to-read, non-fiction","to-read (#168), non-fiction (#157)",to-read,,,,0,,,0,,,,,
5753,Words and Rules: The Ingredients of Language,Steven Pinker,"Pinker, Steven",,"=""0753810255""","=""9780753810255""",0,3.89,Not Avail,Paperback,397,2000,1999,,2017/02/26,"to-read, non-fiction","to-read (#167), non-fiction (#156)",to-read,,,,0,,,0,,,,,
373969,The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,"Pinker, Steven",,"=""0670063274""","=""9780670063277""",0,3.89,Viking Penguin,Hardcover,499,2007,2007,,2017/02/26,"to-read, non-fiction","to-read (#166), non-fiction (#155)",to-read,,,,0,,,0,,,,,
11107244,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""0670022950""","=""9780670022953""",0,4.19,Viking,Hardcover,802,2011,2010,,2017/02/26,"to-read, non-fiction","to-read (#165), non-fiction (#154)",to-read,,,,0,,,0,,,,,
5752,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,"Pinker, Steven",,"=""0142003344""","=""9780142003343""",0,4.06,Penguin Books,Paperback,528,2003,2002,,2017/02/26,"to-read, non-fiction","to-read (#164), non-fiction (#153)",to-read,,,,0,,,0,,,,,
835623,How the Mind Works,Steven Pinker,"Pinker, Steven",,"=""0393318486""","=""9780393318487""",0,3.97,W. W. Norton & Company,Paperback,660,1999,1997,,2017/02/26,"to-read, non-fiction","to-read (#163), non-fiction (#152)",to-read,,,,0,,,0,,,,,
10032,Essays in Existentialism,Jean-Paul Sartre,"Sartre, Jean-Paul","Wade Baskin, Jean Wahl","=""""","=""9780806501628""",0,3.98,Citadel,Paperback,448,2000,1965,,2017/02/26,"to-read, non-fiction","to-read (#162), non-fiction (#151)",to-read,,,,0,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew    Ward,"=""""","=""""",0,3.95,Vintage International,Paperback,123,1989,1942,,2017/02/26,"to-read, fiction","to-read (#161), fiction (#11)",to-read,,,,0,,,0,,,,,
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""0679720219""","=""9780679720218""",0,3.97,Vintage International,Paperback,308,1991,1943,,2017/02/26,"to-read, fiction","to-read (#160), fiction (#10)",to-read,,,,0,,,0,,,,,
11987,The Myth of Sisyphus and Other Essays,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679733736""","=""9780679733737""",0,4.18,Vintage,Paperback,212,1991,1942,,2017/02/26,"to-read, non-fiction","to-read (#159), non-fiction (#150)",to-read,,,,0,,,0,,,,,
10031,The Wall,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""184391400X""","=""9781843914006""",0,4.07,Hesperus Press,,183,2005,1939,,2017/02/26,"to-read, fiction","to-read (#158), fiction (#9)",to-read,,,,0,,,0,,,,,
9462,Complete Works,Plato,"Plato, Plato","John M. Cooper, Dorothea Frede, Alexander Nehamas, Paul Woodruff, Anthony Kenny, Rosamond Kent Sprague, Nicholas D. Smith, Karen Bell, D.S. Hutchinson, Donald J. Zeyl, Francisco J. González, Diskin Clay, Malcolm Schofield, Glenn R. Morrow, Jonathan Barnes, G.M.A. Grube, Brad Inwood, Mark Joyal, Jackson P. Hershbell, J.M. Edmonds, C.D.C. Reeve, Myles Burnyeat, Nicholas P. White, Mary Louise Gill, C.J. Rowe, Stanley Lombardo, David Gallop, Jeffrey Mitscherling, Richard D. McKiharan Jr., Andrew S. Becker, Mark Reuter, M.J. Levett, Paul        Ryan","=""0872203492""","=""9780872203495""",0,4.32,Hackett Publishing Company,Hardcover,1808,1997,-385,,2017/02/26,"to-read, non-fiction","to-read (#157), non-fiction (#149)",to-read,,,,0,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Martin Hammond, Diskin Clay","=""0140449337""","=""9780140449334""",0,4.19,Penguin Books,Paperback,304,2006,180,,2017/02/26,"to-read, non-fiction","to-read (#156), non-fiction (#148)",to-read,,,,0,,,0,,,,,
